predio_id,nombre,ciudad,uso_suelo,superficie_m2,frente_m,dist_centro_km,dist_vialidad_m,densidad_comercios_1km,nivel_socioeconomico,esquina,cus,fecha_adquisicion,anio,anios_desde_inicio,_desvio_inyectado,_fuera_de_precio,precio_m2_pagado,precio_total_pagado,empresa
PR-0019,Predio 19,Aguascalientes,Comercial,7187.0,56.9,8.13,105.0,152.0,3,0,1.39,2020-01-22,2020,2,0.0,0,7331.33,52690268.71,ADP
PR-0020,Predio 20,Puebla,Industrial,3097.6,73.8,1.71,375.0,280.0,3,0,0.99,2020-01-26,2020,2,0.0,0,3621.21,11217060.1,AAI
PR-0021,Predio 21,Puebla,Industrial,2749.3,38.8,6.28,528.0,95.0,3,0,0.99,2020-01-27,2020,2,0.0,0,1731.77,4761155.26,OCI
PR-0022,Predio 22,Queretaro,Mixto,3395.2,81.2,2.73,234.0,247.0,4,0,1.66,2020-03-17,2020,2,0.0,0,9166.79,31123085.41,EDP
PR-0023,Predio 23,Merida,Habitacional,2062.1,37.8,2.49,153.0,196.0,4,0,0.88,2020-04-19,2020,2,0.0,0,7337.94,15131566.07,PPO
PR-0024,Predio 24,Aguascalientes,Habitacional,1124.8,39.9,9.22,682.0,134.0,4,1,0.91,2020-04-27,2020,2,0.0,0,2851.8,3207704.64,EDC
PR-0025,Predio 25,Culiacan,Industrial,3817.7,39.0,6.23,330.0,409.0,3,0,1.24,2020-06-09,2020,2,0.0,0,1431.65,5465610.2,EDC
PR-0026,Predio 26,Aguascalientes,Industrial,731.4,37.2,6.31,60.0,62.0,2,0,1.64,2020-07-14,2020,2,0.0,0,1815.05,1327527.57,IBS
PR-0027,Predio 27,Leon,Comercial,2418.9,31.2,12.67,719.0,99.0,2,0,1.52,2020-07-19,2020,2,0.0,0,6654.9,16097537.61,DIA
PR-0028,Predio 28,Leon,Comercial,1398.7,36.4,3.21,367.0,129.0,4,0,1.93,2020-10-27,2020,2,0.0,0,14459.43,20224404.74,AYP
PR-0029,Predio 29,Leon,Comercial,416.5,23.6,4.32,871.0,126.0,2,0,2.44,2020-12-01,2020,2,0.0,0,9819.35,4089759.28,AYP
PR-0030,Predio 30,Aguascalientes,Habitacional,5088.3,59.8,6.78,231.0,125.0,3,0,1.52,2020-12-12,2020,2,0.0,0,2724.32,13862157.46,PPO
PR-0031,Predio 31,Queretaro,Mixto,5069.6,49.7,9.45,291.0,39.0,2,0,1.66,2021-01-24,2021,3,0.0,0,3794.77,19237965.99,ADP
PR-0032,Predio 32,Leon,Mixto,1398.9,42.6,10.18,111.0,49.0,2,0,2.25,2021-03-06,2021,3,0.0,0,5426.95,7591760.36,AYP
PR-0033,Predio 33,Queretaro,Oficinas,1893.8,51.0,3.77,148.0,320.0,5,0,4.91,2021-03-25,2021,3,0.0,0,33030.69,62553520.72,AYP
PR-0034,Predio 34,Culiacan,Comercial,374.2,27.1,3.26,891.0,261.0,4,0,2.99,2021-06-03,2021,3,0.3563,1,24766.85,9267755.27,PPO
PR-0035,Predio 35,Culiacan,Comercial,500.3,29.8,26.5,263.0,6.0,2,0,0.91,2021-06-08,2021,3,0.0,0,2633.9,1317740.17,EDC
PR-0036,Predio 36,Aguascalientes,Mixto,6339.6,98.6,11.03,280.0,64.0,3,0,0.9,2021-07-15,2021,3,-0.3984,1,1626.67,10312437.13,IBS
PR-0037,Predio 37,Culiacan,Industrial,12704.5,112.0,1.36,199.0,473.0,4,0,0.95,2022-04-14,2022,4,-0.4497,1,2082.73,26460043.28,EDP
PR-0038,Predio 38,Puebla,Comercial,1096.3,37.5,7.57,427.0,171.0,3,0,1.44,2022-09-20,2022,4,0.0,0,10771.27,11808543.3,EDP
PR-0039,Predio 39,Queretaro,Habitacional,2225.9,51.0,7.07,704.0,161.0,3,0,1.54,2022-10-07,2022,4,0.0,0,4207.86,9366275.57,OCI
PR-0040,Predio 40,Leon,Comercial,1642.6,54.3,9.92,737.0,74.0,2,0,2.27,2022-10-17,2022,4,0.0,0,12399.39,20367238.01,APE
PR-0041,Predio 41,Queretaro,Comercial,6539.0,73.2,3.29,428.0,203.0,4,0,2.59,2022-12-10,2022,4,-0.3797,1,13255.61,86678433.79,APE
PR-0042,Predio 42,Queretaro,Industrial,878.0,34.0,9.58,1064.0,116.0,2,0,1.06,2023-05-06,2023,5,0.3603,1,4341.98,3812258.44,OCI
PR-0043,Predio 43,Leon,Habitacional,8050.1,106.5,7.08,117.0,176.0,2,0,1.35,2023-06-15,2023,5,-0.3643,1,2740.86,22064197.09,EDC
PR-0044,Predio 44,Aguascalientes,Comercial,4013.1,35.5,26.43,551.0,7.0,3,0,0.6,2023-07-03,2023,5,0.0,0,2248.53,9023575.74,EDC
PR-0045,Predio 45,Merida,Mixto,7088.8,97.1,14.9,655.0,65.0,3,0,1.24,2023-10-15,2023,5,0.3667,1,18438.04,130703577.95,OCI
PR-0046,Predio 46,Queretaro,Habitacional,887.0,38.1,5.28,961.0,60.0,3,0,0.75,2024-02-22,2024,6,0.0,0,5700.62,5056449.94,EDP
PR-0047,Predio 47,Puebla,Comercial,1767.4,42.2,2.71,402.0,224.0,3,0,3.33,2024-04-22,2024,6,0.0,0,17815.75,31487556.55,OCI
PR-0048,Predio 48,Queretaro,Habitacional,699.2,37.7,14.22,418.0,18.0,3,0,0.82,2024-05-18,2024,6,0.0,0,4432.5,3099204.0,DIA
PR-0049,Predio 49,Aguascalientes,Mixto,250.0,18.7,6.04,355.0,144.0,3,0,1.36,2024-06-25,2024,6,-0.4215,1,6643.88,1660970.0,PPO
PR-0050,Predio 50,Queretaro,Industrial,3247.1,59.7,11.26,421.0,44.0,2,0,0.76,2024-07-14,2024,6,0.0,0,2605.67,8460871.06,ILP
PR-0051,Predio 51,Puebla,Habitacional,474.2,18.6,3.82,130.0,372.0,3,0,1.02,2024-08-03,2024,6,-0.432,1,3944.09,1870287.48,ILP
PR-0052,Predio 52,Leon,Industrial,841.9,25.4,5.26,106.0,174.0,1,0,0.63,2024-08-26,2024,6,0.0,0,3128.68,2634035.69,EDC
PR-0053,Predio 53,Leon,Industrial,2761.2,75.3,3.9,329.0,252.0,4,0,0.85,2024-09-24,2024,6,0.0,0,3763.78,10392549.34,DIA
PR-0054,Predio 54,Aguascalientes,Comercial,8060.1,78.6,13.44,435.0,66.0,3,0,0.99,2025-01-10,2025,7,0.0,0,8697.1,70099495.71,OCI
PR-0055,Predio 55,Queretaro,Habitacional,5224.7,65.4,13.21,163.0,28.0,1,0,0.77,2025-01-10,2025,7,0.0,0,2963.48,15483293.96,EDP
PR-0056,Predio 56,Aguascalientes,Comercial,1400.5,40.5,6.51,441.0,43.0,3,0,1.51,2025-01-22,2025,7,0.0,0,8426.04,11800669.02,EDP
PR-0057,Predio 57,Leon,Habitacional,547.9,31.6,3.8,415.0,300.0,1,0,1.14,2025-03-09,2025,7,0.0,0,6715.8,3679586.82,EDC
PR-0058,Predio 58,Puebla,Mixto,2672.3,62.3,15.56,906.0,37.0,2,0,1.01,2025-03-22,2025,7,0.0,0,3304.45,8830481.74,DIA
PR-0059,Predio 59,Puebla,Comercial,3772.1,76.5,5.15,1278.0,155.0,3,0,2.01,2025-07-06,2025,7,0.0,0,8536.06,32198871.93,PPO
PR-0060,Predio 60,Puebla,Comercial,1584.6,39.8,8.48,1086.0,64.0,3,0,1.65,2025-07-17,2025,7,0.4243,1,14933.78,23664067.79,AAI
PR-0061,Predio 61,Leon,Mixto,2010.2,26.9,2.78,1688.0,72.0,2,0,2.39,2025-07-24,2025,7,0.0,0,6778.27,13625678.35,DIA
PR-0062,Predio 62,Queretaro,Comercial,4638.1,66.2,15.89,1028.0,24.0,2,0,1.56,2025-10-11,2025,7,0.0,0,5415.39,25117120.36,IBS
PR-0063,Predio 63,Puebla,Comercial,4940.7,94.5,1.85,1369.0,422.0,3,0,2.38,2025-12-14,2025,7,0.0,0,23064.51,113954824.56,EDP
PR-0064,Predio 64,Culiacan,Industrial,1507.4,34.3,7.52,181.0,91.0,5,0,0.9,2025-12-27,2025,7,0.0,0,3133.65,4723664.01,ILP
