operacion_id,ciudad,uso_suelo,superficie_m2,frente_m,dist_centro_km,dist_vialidad_m,densidad_comercios_1km,nivel_socioeconomico,esquina,cus,fecha,anio,anios_desde_inicio,precio_m2_nominal,precio_total_nominal,y,pred_base,pred_lineal,pred_boosting,lo,hi,entrenado_hasta,n_entrenamiento
OP-01002,Merida,Habitacional,3556.9,63.5,6.0,448.0,109.0,3,0,0.88,2021-01-11,2021,3,4580.93,16293909.92,8.62937811551726,8.929131805601745,8.765236969157165,9.040956280365151,8.46744234604209,9.042377019215754,2020,991
OP-01003,Queretaro,Oficinas,2737.0,65.9,4.21,160.0,241.0,3,0,2.65,2021-01-12,2021,3,16094.39,44050345.43,9.885946845299458,9.675203372049811,9.747368816169384,9.690456726423736,9.573470665583208,9.990718246922988,2020,991
OP-01004,Puebla,Mixto,2023.8,47.9,5.98,340.0,192.0,3,0,2.14,2021-01-14,2021,3,6547.58,13250992.4,8.986571596964898,8.630215824590907,8.895782697307254,8.879478474736173,8.625562083517913,9.250374370382708,2020,991
OP-01005,Aguascalientes,Industrial,448.8,28.5,6.85,260.0,56.0,2,0,0.88,2021-01-15,2021,3,2444.01,1096871.69,8.001116214189848,7.938614855419242,7.898946513288973,7.965648000881199,7.568350278188052,8.33175044481275,2020,991
OP-01006,Aguascalientes,Comercial,2462.7,35.1,4.36,528.0,310.0,3,0,1.61,2021-01-15,2021,3,10169.37,25044107.5,9.426856342474867,9.506738542642161,9.53173455491887,9.564792848676362,9.190707732488029,9.947217918266215,2020,991
OP-01007,Leon,Industrial,8854.2,62.8,9.55,305.0,55.0,2,0,0.7,2021-01-16,2021,3,1488.64,13180716.29,7.505339032703896,8.056723270448238,7.496052125482004,7.746683500625725,7.02163552155168,7.970240617896735,2020,991
OP-01008,Queretaro,Industrial,823.5,25.8,6.52,208.0,207.0,4,0,0.87,2021-01-16,2021,3,3499.16,2881558.26,8.359999020926601,8.151400628480612,8.466432528799604,8.236929429702212,8.090100790431965,8.885288000652153,2020,991
OP-01009,Queretaro,Habitacional,710.5,35.8,5.94,393.0,246.0,1,0,0.84,2021-01-16,2021,3,4492.92,3192219.66,8.609978905690163,8.596853996668012,8.610039437761296,8.442427975789457,8.286806802193789,8.976858726721696,2020,991
OP-01010,Merida,Comercial,13605.4,127.3,7.41,1264.0,287.0,2,0,1.4,2021-01-17,2021,3,16880.51,229666090.75,9.933635783217383,10.01128998728121,9.442245298463618,9.658382161026758,9.153827799862224,9.732748449413037,2020,991
OP-01011,Puebla,Comercial,4797.4,65.7,6.99,76.0,226.0,4,0,1.93,2021-01-17,2021,3,11691.09,56086835.17,9.5663030944603,9.4212876095489,9.510446058230224,9.478909974286113,9.19012641067539,9.898790965995651,2020,991
OP-01012,Culiacan,Habitacional,9829.6,55.6,11.29,221.0,96.0,2,0,0.68,2021-01-18,2021,3,3018.72,29672810.11,8.212308981717008,8.365064002332426,7.891199775064124,7.905855582723029,7.4523174500088505,8.284622752767378,2020,991
OP-01013,Puebla,Industrial,4633.4,44.8,7.58,119.0,80.0,4,0,0.52,2021-01-18,2021,3,2649.01,12273922.93,8.081662066528088,7.834535274016334,7.8285903422572725,7.83477577153056,7.561745855992433,8.114736665337038,2020,991
OP-01014,Puebla,Comercial,9085.5,130.3,9.8,15.0,263.0,5,0,1.02,2021-01-20,2021,3,5134.83,46652497.96,8.743522817933972,9.4212876095489,9.374676388417095,9.019856142571014,8.983627287124186,9.885229213077583,2020,991
OP-01015,Leon,Mixto,5364.0,76.2,3.3,333.0,223.0,3,0,1.47,2021-01-20,2021,3,4964.46,26629363.44,8.70978061148873,8.851664222603516,8.975435089170086,8.840007272429464,8.666876115574757,9.376090277850482,2020,991
OP-01016,Leon,Industrial,4430.1,47.3,4.44,272.0,219.0,4,0,0.87,2021-01-20,2021,3,2631.21,11656523.42,8.07491989766861,8.056723270448238,8.206796972398555,8.302330235901854,7.720019143570552,8.716835455374786,2020,991
OP-01017,Puebla,Industrial,19403.3,187.3,3.0,52.0,313.0,3,0,0.87,2021-01-20,2021,3,1937.95,37602625.24,7.769106794577995,7.834535274016334,8.099487677825854,8.162146479749747,7.814131679443215,8.426552707514805,2020,991
OP-01018,Culiacan,Comercial,3730.7,79.0,5.15,372.0,215.0,3,0,3.5,2021-01-21,2021,3,7519.68,28053670.18,9.124999665100688,9.458493523858282,9.691361647167435,9.497095736529307,9.494768528618994,9.931295970035858,2020,991
OP-01019,Merida,Mixto,1513.5,26.4,8.28,62.0,112.0,3,0,1.32,2021-01-22,2021,3,6615.19,10012090.06,8.996844600990427,9.294441496202015,9.208151802847464,9.283120179121003,8.825525084814519,9.58799789703022,2020,991
OP-01020,Queretaro,Comercial,2520.4,50.7,7.38,222.0,161.0,3,0,1.41,2021-01-22,2021,3,10640.85,26819198.34,9.472176449176573,9.667796135892095,9.553004053378475,9.59888698088199,9.331058699612544,9.848688074960872,2020,991
OP-01021,Aguascalientes,Mixto,1215.3,28.6,8.76,425.0,53.0,5,1,1.68,2021-01-22,2021,3,1535.22,1865752.87,7.536149774480888,8.766897514663887,8.976345775031195,8.979940461539147,8.688496723867289,9.384898694803766,2020,991
OP-01022,Merida,Comercial,18156.8,142.7,6.59,357.0,201.0,3,0,1.84,2021-01-22,2021,3,14870.56,270001783.81,9.80685950071635,10.01128998728121,9.659077616385527,9.848816048730056,9.280933522436323,10.033749659805883,2020,991
OP-01023,Culiacan,Industrial,986.4,31.8,3.8,438.0,376.0,3,0,0.67,2021-01-22,2021,3,2945.28,2905224.19,8.187679970220596,7.924558402596737,8.267605792252972,8.214503929363495,7.847720003347033,8.722462992861532,2020,991
OP-01024,Merida,Oficinas,8917.4,71.5,12.51,838.0,51.0,2,0,1.68,2021-01-22,2021,3,8654.3,77173854.82,9.265532388488063,9.67499799630006,8.98039708191403,8.846657689335016,8.427649558527497,9.51307706657114,2020,991
OP-01025,Leon,Comercial,6292.7,73.8,6.99,825.0,128.0,3,0,2.82,2021-01-23,2021,3,7571.25,47643604.88,9.131834260548862,9.572286919537161,9.378866276863079,9.221842270736305,9.038898860638948,9.771375960159379,2020,991
OP-01026,Queretaro,Comercial,1473.5,34.0,2.94,290.0,209.0,2,0,2.01,2021-01-23,2021,3,19407.55,28597024.92,10.073138246853809,9.667796135892095,9.882121848685093,9.995964155475473,9.443663797414706,10.364712368399152,2020,991
OP-01027,Puebla,Mixto,10949.8,74.2,5.85,728.0,236.0,2,0,1.64,2021-01-24,2021,3,3106.44,34014896.71,8.240953457230031,8.630215824590907,8.51300890054337,8.578137837952944,8.13089710326989,8.930289847582264,2020,991
OP-01028,Queretaro,Industrial,6185.0,73.0,1.04,539.0,223.0,5,0,1.43,2021-01-25,2021,3,7851.87,48563815.95,9.16822780122161,8.151400628480612,8.942289751090694,9.02505954929085,8.565631293730098,9.349780031963922,2020,991
OP-01029,Puebla,Comercial,1084.1,44.3,1.18,803.0,600.0,1,0,1.39,2021-01-27,2021,3,16971.22,18398499.6,9.938995049471266,9.4212876095489,9.807808408471155,10.063738161248848,9.494686474623151,10.21097423477826,2020,991
OP-01030,Queretaro,Habitacional,937.0,26.3,17.36,693.0,14.0,2,0,0.83,2021-02-01,2021,3,2363.48,2214580.76,7.967611190424538,8.596853996668012,8.07128747655019,8.02942747277893,7.609206860132545,8.55990201890242,2020,991
OP-01031,Aguascalientes,Mixto,6743.9,81.1,2.15,99.0,368.0,3,0,2.07,2021-02-03,2021,3,9103.43,61392621.58,9.316127346817911,8.766897514663887,9.242081609676212,9.110820937451939,8.92969500596087,9.642545863362912,2020,991
OP-01032,Puebla,Comercial,1394.6,47.3,7.39,173.0,93.0,2,0,1.82,2021-02-04,2021,3,7195.62,10035011.65,9.08094858881472,9.4212876095489,9.24842319963145,9.20264392433154,8.990021199061536,9.596917886266338,2020,991
OP-01033,Aguascalientes,Mixto,1767.3,34.2,1.05,51.0,407.0,4,0,1.56,2021-02-05,2021,3,12730.98,22499460.95,9.651514474345614,8.766897514663887,9.670276781291031,9.619444505135125,9.268062741295777,10.174640448143629,2020,991
OP-01034,Leon,Oficinas,3018.7,78.5,6.17,347.0,113.0,3,0,4.39,2021-02-06,2021,3,8342.6,25183806.62,9.228850999621898,9.42311303140379,9.55314422568918,9.362398410969956,9.297965593646145,9.875586620945493,2020,991
OP-01035,Culiacan,Comercial,874.0,17.4,3.17,648.0,380.0,3,1,2.15,2021-02-07,2021,3,20530.52,17943674.48,10.129388640733056,9.458493523858282,9.954159969049373,10.06113964162507,9.71998848933361,10.191944725743275,2020,991
OP-01036,Leon,Mixto,6853.4,58.8,6.63,1228.0,117.0,2,0,2.38,2021-02-07,2021,3,4851.61,33250023.97,8.686786689862002,8.851664222603516,8.589851742792046,8.816168839425208,8.228583290512452,8.988231580968739,2020,991
OP-01037,Queretaro,Oficinas,386.6,20.6,5.16,360.0,379.0,4,0,2.22,2021-02-07,2021,3,32577.23,12594357.12,10.591089659309636,9.675203372049811,9.959948777250661,9.796764824269548,9.558693996964209,10.451244236114096,2020,991
OP-01038,Queretaro,Industrial,3443.7,37.4,7.36,334.0,73.0,3,0,1.25,2021-02-08,2021,3,2307.68,7946957.62,7.943718772088905,8.151400628480612,8.0706225059435,8.218356541063116,7.8315823854963,8.298391797088012,2020,991
OP-01039,Aguascalientes,Mixto,4805.1,67.7,4.69,345.0,170.0,3,0,2.67,2021-02-09,2021,3,4662.95,22405941.04,8.647124376293837,8.766897514663887,8.9612895868806,8.82584380140377,8.63050663649597,9.378570606298034,2020,991
OP-01040,Leon,Comercial,363.1,26.7,7.64,271.0,347.0,3,0,1.18,2021-02-10,2021,3,20407.92,7410115.75,10.123399142036309,9.572286919537161,9.627431500392266,9.325912734203197,9.331623559878926,10.057804158498344,2020,991
OP-01041,Queretaro,Industrial,1402.9,30.6,3.1,634.0,157.0,4,0,0.77,2021-02-10,2021,3,4083.17,5728279.19,8.514349728758447,8.151400628480612,8.510421943326246,8.273759948956338,8.083781178273828,8.974077912812369,2020,991
OP-01042,Merida,Oficinas,11512.1,65.8,3.95,515.0,99.0,3,0,2.85,2021-02-11,2021,3,10772.22,124010873.86,9.48444667929636,9.67499799630006,9.675927080326357,9.816083211135902,9.400498289948048,9.894970635105762,2020,991
OP-01043,Leon,Mixto,1141.3,33.9,7.5,632.0,186.0,5,0,1.91,2021-02-11,2021,3,8510.64,9713193.43,9.248793226633746,8.851664222603516,9.112095906647578,9.079365439622931,8.865731521178791,9.477884682046849,2020,991
OP-01044,Leon,Habitacional,1055.6,23.0,10.95,261.0,75.0,4,0,1.06,2021-02-12,2021,3,3139.61,3314172.32,8.251574669620416,8.59906862699684,8.437207103448285,8.42889978138795,8.125273370450014,8.782586545249764,2020,991
OP-01045,Culiacan,Comercial,2377.6,68.0,6.56,255.0,235.0,3,0,2.55,2021-02-13,2021,3,9267.04,22033314.3,9.333940100222579,9.458493523858282,9.563610564322257,9.628325558931502,9.31056407144646,9.886885059402314,2020,991
OP-01046,Merida,Industrial,2218.7,31.8,1.68,501.0,297.0,3,0,1.2,2021-02-14,2021,3,5377.01,11929972.09,8.789608538834761,8.5037005923122,8.918733053130799,8.50592942927995,8.594220807609044,9.18006403797785,2020,991
OP-01047,Aguascalientes,Oficinas,1484.4,27.6,16.33,373.0,24.0,2,0,1.13,2021-02-15,2021,3,2976.43,4418212.69,8.198200677016434,9.354714712891191,8.552272646822116,8.279280651139798,8.171784952542515,9.024765040410172,2020,991
OP-01048,Leon,Oficinas,2550.9,35.5,2.19,432.0,298.0,3,0,2.29,2021-02-16,2021,3,15822.06,40360492.85,9.86888125001595,9.42311303140379,9.680693290791584,9.664023633635658,9.320820054081103,10.084670249098039,2020,991
OP-01049,Aguascalientes,Industrial,4069.9,91.2,6.31,276.0,131.0,4,0,0.52,2021-02-16,2021,3,2220.4,9036805.96,7.905163441069711,7.938614855419242,7.939259454192406,7.857847491117462,7.629798272032897,8.362444990725912,2020,991
OP-01050,Culiacan,Comercial,5743.7,45.3,27.68,585.0,7.0,2,0,0.81,2021-02-17,2021,3,3361.69,19308538.85,8.319919904951307,9.458493523858282,8.347625555082484,8.122556673810031,7.87483145169583,8.846624681610347,2020,991
OP-01051,Aguascalientes,Comercial,3028.4,51.7,7.66,192.0,69.0,4,0,2.46,2021-02-17,2021,3,7716.34,23368164.06,9.150816239590535,9.506738542642161,9.454269118489345,9.04613666616957,9.224036414382663,9.780058334513928,2020,991
OP-01052,Leon,Industrial,459.6,12.9,5.11,215.0,99.0,3,1,0.45,2021-02-18,2021,3,2775.85,1275780.66,8.128433087838348,8.056723270448238,8.27234738535978,8.24547862865149,8.053755434071673,8.510221897264552,2020,991
OP-01053,Culiacan,Comercial,2583.7,47.6,8.54,537.0,93.0,2,0,1.96,2021-02-19,2021,3,5605.97,14484144.69,8.831308182554915,9.458493523858282,9.115409553389833,9.036821145660536,8.868402119218217,9.405434800448425,2020,991
OP-01054,Leon,Habitacional,1120.9,28.0,5.91,42.0,129.0,3,0,0.97,2021-02-19,2021,3,3327.14,3729391.23,8.309589157338754,8.59906862699684,8.62873191359864,8.643964162026561,8.224334534089165,9.064399528493807,2020,991
OP-01055,Queretaro,Habitacional,3684.9,85.4,1.5,833.0,149.0,5,0,2.05,2021-02-21,2021,3,8119.12,29918145.29,9.201697855152265,8.596853996668012,9.342834359883385,9.265926605941017,9.0685197596834,9.676688734775183,2020,991
OP-01056,Merida,Comercial,1457.9,27.7,7.17,642.0,146.0,3,0,1.16,2021-02-22,2021,3,14540.19,21198143.0,9.784392620656114,10.01128998728121,9.721611063974736,9.46949555250746,9.329288343272278,10.117034618488514,2020,991
OP-01057,Merida,Industrial,43981.2,163.1,3.69,253.0,301.0,2,0,1.15,2021-02-24,2021,3,2051.57,90230510.48,7.82608143492843,8.5037005923122,8.292505297149297,8.164782727092435,7.776678809475423,8.718624228129102,2020,991
OP-01058,Merida,Mixto,2211.9,37.4,3.41,469.0,235.0,3,0,3.0,2021-02-24,2021,3,12748.72,28198893.77,9.652906955643784,9.294441496202015,9.67289691054074,9.657465848488012,9.261649020804224,10.061238165359,2020,991
OP-01059,Queretaro,Habitacional,1662.2,45.6,26.44,593.0,9.0,2,0,0.4,2021-02-26,2021,3,1480.16,2460321.95,7.499626271276714,8.596853996668012,7.8201439876110195,7.825035421408623,7.368499554292968,8.324117121026577,2020,991
OP-01060,Merida,Oficinas,5286.4,44.0,3.57,102.0,181.0,5,0,3.87,2021-02-27,2021,3,22630.4,119633346.56,10.226770216376865,9.67499799630006,10.320338343205895,10.080016536453105,10.019133112644484,10.56518892031855,2020,991
OP-01061,Aguascalientes,Oficinas,1069.2,41.2,11.73,853.0,46.0,2,1,2.19,2021-03-01,2021,3,8583.25,9177210.9,9.257288710892484,9.354714712891191,8.95422358112566,8.78405882543543,8.655261641471952,9.367686760218046,2020,991
OP-01062,Queretaro,Industrial,1462.8,31.7,5.93,343.0,205.0,4,0,1.12,2021-03-01,2021,3,3860.8,5647578.24,8.458350497124473,8.151400628480612,8.438754169510135,8.047036012407457,7.9645301751748185,8.940413184107182,2020,991
OP-01063,Leon,Comercial,286.0,13.3,12.4,519.0,71.0,3,0,1.25,2021-03-02,2021,3,6996.0,2000856.0,9.052814638392197,9.572286919537161,9.27548588682849,9.033139769211886,8.990110069403208,9.656982404069392,2020,991
OP-01064,Leon,Mixto,1167.2,39.3,26.56,551.0,3.0,3,0,0.49,2021-03-03,2021,3,2257.66,2635140.75,7.921804959894914,8.851664222603516,8.066442668347328,8.059973804240409,7.701448753430376,8.577154853031544,2020,991
OP-01065,Merida,Industrial,4011.6,51.3,4.12,535.0,155.0,2,0,1.17,2021-03-04,2021,3,4245.72,17032130.35,8.553387497924202,8.5037005923122,8.382426504695099,8.189682262270221,7.8947447586746,8.810690918666262,2020,991
OP-01066,Aguascalientes,Industrial,2959.6,77.0,0.54,252.0,450.0,4,0,1.23,2021-03-04,2021,3,6039.12,17873379.55,8.905734387203728,7.938614855419242,8.987025107384431,8.490407080827387,8.597647474599158,9.471299950166516,2020,991
OP-01067,Merida,Habitacional,1352.1,23.1,4.77,684.0,383.0,5,0,1.3,2021-03-05,2021,3,7888.09,10665486.49,9.172830108207394,8.929131805601745,9.352113744666417,9.301707977661172,9.072330067370576,9.58333518971347,2020,991
OP-01068,Aguascalientes,Comercial,2049.5,25.3,13.76,292.0,46.0,3,0,1.59,2021-03-06,2021,3,4393.16,9003781.42,8.587524867146021,9.506738542642161,9.021098831075424,8.941652603534516,8.70069420405122,9.404476598818963,2020,991
OP-01069,Culiacan,Industrial,1308.6,21.0,7.63,289.0,111.0,2,0,0.65,2021-03-06,2021,3,1580.42,2068137.61,7.565166715734912,7.924558402596737,7.776954305927121,7.808455970845387,7.529747752463368,8.003420725468024,2020,991
OP-01070,Queretaro,Habitacional,13140.3,147.0,2.29,193.0,317.0,3,0,1.58,2021-03-06,2021,3,8316.98,109287612.29,9.225775289406263,8.596853996668012,8.987108462713008,8.956684837940896,8.726753805037495,9.265590680326993,2020,991
OP-01071,Leon,Habitacional,2129.9,38.0,3.73,616.0,151.0,4,0,1.99,2021-03-11,2021,3,5661.95,12059387.3,8.841244437084722,8.59906862699684,8.845280136266627,8.781024197006738,8.568722379096242,9.144142417329396,2020,991
OP-01072,Leon,Oficinas,3673.6,81.3,2.81,257.0,166.0,3,0,2.69,2021-03-11,2021,3,14160.79,52021078.14,9.75795295890561,9.42311303140379,9.582767573451054,9.394916870680582,9.270986540220562,9.984516940884987,2020,991
OP-01073,Queretaro,Comercial,1001.7,23.3,6.68,224.0,131.0,5,0,1.48,2021-03-12,2021,3,14951.53,14976947.6,9.812289716973165,9.667796135892095,9.882466181924373,9.749936250312384,9.62087031848371,10.220513862441098,2020,991
OP-01074,Puebla,Industrial,841.1,32.1,8.06,624.0,137.0,3,0,1.12,2021-03-14,2021,3,2383.72,2004946.89,7.976138373876764,7.834535274016334,7.939282247190247,7.9687760987439775,7.6458823583900415,8.291861632962034,2020,991
OP-01075,Queretaro,Industrial,1529.9,43.7,11.52,985.0,81.0,3,0,0.65,2021-03-14,2021,3,2207.79,3377697.92,7.89946809643192,8.151400628480612,7.876076430303302,7.916429212078683,7.484174111804604,8.32718508806675,2020,991
OP-01076,Merida,Mixto,2837.3,29.5,3.32,328.0,453.0,3,0,2.61,2021-03-15,2021,3,13108.13,37191697.25,9.6807087296308,9.294441496202015,9.712163342436027,9.65488111102596,9.43281712124081,9.937828498996002,2020,991
OP-01077,Puebla,Mixto,2425.7,55.7,13.34,610.0,31.0,3,0,1.38,2021-03-16,2021,3,3650.94,8856085.16,8.402460749920566,8.630215824590907,8.304695868226446,8.349373258317566,8.016168491329388,8.705327845776416,2020,991
OP-01078,Puebla,Habitacional,1841.7,51.7,8.88,702.0,64.0,3,0,1.1,2021-03-17,2021,3,3446.93,6348210.98,8.34496006105059,8.349034302561492,8.177423560072992,8.218447430502238,7.867830909186569,8.547437729203821,2020,991
OP-01079,Leon,Oficinas,1922.3,41.4,6.72,187.0,302.0,3,0,2.65,2021-03-18,2021,3,12633.82,24285992.19,9.643853426341584,9.42311303140379,9.482066118444864,9.51905164514934,9.221362486140482,9.80479986124574,2020,991
OP-01080,Queretaro,Mixto,1554.9,28.3,4.77,292.0,148.0,2,1,1.72,2021-03-20,2021,3,7755.21,12058576.03,9.155840956801383,9.244567054377242,9.18415389211469,8.960615916170113,8.875791633516346,9.524670688104415,2020,991
OP-01081,Aguascalientes,Comercial,1229.8,30.2,18.44,32.0,17.0,3,0,1.26,2021-03-20,2021,3,7026.4,8641066.72,9.057150564856613,9.506738542642161,8.970623341419067,8.949662233763654,8.642471998961904,9.407060831898407,2020,991
OP-01082,Puebla,Industrial,541.9,31.6,5.59,82.0,148.0,5,0,0.84,2021-03-24,2021,3,2960.38,1604229.92,8.19279371971039,7.834535274016334,8.395625267305395,8.288257282741526,8.12131107282459,8.77119541452392,2020,991
OP-01083,Leon,Comercial,1271.2,32.5,2.66,577.0,306.0,4,0,3.07,2021-03-24,2021,3,18073.67,22975249.3,10.001932264277372,9.572286919537161,10.125542800587573,10.22870265081946,9.847458564099437,10.468527183300814,2020,991
OP-01084,Culiacan,Habitacional,615.5,29.5,10.46,209.0,59.0,2,0,0.75,2021-03-26,2021,3,3935.36,2422214.08,8.477478445578756,8.365064002332426,8.180572907196098,8.30747899019766,7.863498866614562,8.541218554684217,2020,991
OP-01085,Queretaro,Industrial,1743.7,24.9,0.87,380.0,348.0,5,1,1.14,2021-03-27,2021,3,7260.3,12659785.11,9.089897231532854,8.151400628480612,9.293474956074773,8.68273820076745,9.058669192486967,9.524214963721768,2020,991
OP-01086,Leon,Habitacional,648.0,15.0,15.28,233.0,44.0,3,1,0.51,2021-04-01,2021,3,3660.59,2372062.32,8.405100417843233,8.59906862699684,8.279532328585615,8.108703746675554,7.855717733865622,8.71666224756848,2020,991
OP-01087,Queretaro,Mixto,1451.6,47.8,3.58,92.0,425.0,2,0,2.18,2021-04-01,2021,3,11487.02,16674558.23,9.548693783496228,9.244567054377242,9.429864346147184,9.358181381781833,9.10597482844941,9.826172692595696,2020,991
OP-01088,Leon,Comercial,900.1,18.6,11.43,173.0,35.0,3,0,1.14,2021-04-03,2021,3,7126.13,6414229.61,9.07124439130669,9.572286919537161,9.166463841322974,8.884320533873634,8.881974515446855,9.517443012881534,2020,991
OP-01089,Merida,Industrial,1280.2,41.5,1.36,433.0,272.0,3,0,1.37,2021-04-03,2021,3,6215.76,7957415.95,8.934564083517191,8.5037005923122,9.066610660750435,8.843637523177815,8.729678229860443,9.388216613638939,2020,991
OP-01090,Culiacan,Mixto,668.6,15.8,7.49,393.0,256.0,3,0,1.44,2021-04-05,2021,3,5072.92,3391754.31,8.73139266993457,8.587429360417513,8.89676148897442,9.026175729647164,8.702370490002153,9.133051972585317,2020,991
OP-01091,Puebla,Habitacional,1446.8,38.7,3.6,585.0,149.0,3,0,0.97,2021-04-06,2021,3,4742.01,6860740.07,8.663937177691679,8.349034302561492,8.558556136162226,8.554211760157216,8.226573052682895,8.9366502938391,2020,991
OP-01092,Puebla,Habitacional,4789.5,40.9,8.15,313.0,103.0,4,1,1.32,2021-04-07,2021,3,3156.5,15118056.75,8.256939900061386,8.349034302561492,8.46178755005221,8.286506033721443,8.186207150664236,8.7204137187208,2020,991
OP-01093,Puebla,Comercial,3816.4,82.6,6.7,147.0,186.0,4,0,2.73,2021-04-08,2021,3,13278.28,50675227.79,9.693605698823651,9.4212876095489,9.613793245225924,9.405212630195187,9.34159080754452,9.972625267426391,2020,991
OP-01094,Leon,Habitacional,1258.1,22.2,6.19,238.0,125.0,3,0,1.53,2021-04-08,2021,3,4657.6,5859726.56,8.645976375245064,8.59906862699684,8.609002080930534,8.530662090711832,8.374742732622819,8.84201026263152,2020,991
OP-01095,Merida,Comercial,5175.1,91.2,4.27,337.0,242.0,5,0,1.91,2021-04-09,2021,3,19625.58,101564339.06,10.084309898607726,10.01128998728121,10.182288317918317,10.040964065060221,9.890842845168477,10.516103335271021,2020,991
OP-01096,Culiacan,Mixto,1424.0,41.8,1.47,1179.0,147.0,2,0,2.07,2021-04-10,2021,3,5472.21,7792427.04,8.80715863801269,8.587429360417513,9.139566369175332,8.978472328164816,8.872057843820558,9.477522555263425,2020,991
OP-01097,Leon,Comercial,3521.4,53.0,4.4,275.0,283.0,3,0,1.44,2021-04-11,2021,3,12283.38,43254694.33,9.61572321038175,9.572286919537161,9.554006225832815,9.61353395133415,9.23438002974979,9.94600512262685,2020,991
OP-01098,Leon,Mixto,554.0,14.6,8.39,639.0,94.0,3,0,2.02,2021-04-11,2021,3,7171.62,3973077.48,9.077607651749046,8.851664222603516,8.867141762717482,8.918065258919645,8.563026473372,9.234994151002935,2020,991
OP-01099,Merida,Industrial,378.4,19.3,9.58,761.0,60.0,2,0,0.61,2021-04-11,2021,3,4490.37,1699156.01,8.609411184940083,8.5037005923122,8.174126300442065,8.278649342966059,7.706962539368853,8.636211550008309,2020,991
OP-01100,Culiacan,Mixto,1258.7,47.8,6.29,571.0,187.0,3,1,1.68,2021-04-11,2021,3,6437.66,8103082.64,8.969641201285764,8.587429360417513,8.976148456466444,8.870293674490005,8.75617592968821,9.288953668416541,2020,991
OP-01101,Leon,Mixto,250.0,11.4,8.17,364.0,66.0,2,0,1.39,2021-04-11,2021,3,5499.71,1374927.5,8.812171444811408,8.851664222603516,8.761160834681597,8.803843381586063,8.402773860524924,9.203570726025045,2020,991
OP-01102,Merida,Comercial,1709.1,36.4,4.74,112.0,290.0,4,0,3.48,2021-04-12,2021,3,25219.41,43102493.63,10.335090017367328,10.01128998728121,10.471614764697282,10.107507673108232,10.095756261804345,10.82272388814613,2020,991
OP-01103,Aguascalientes,Comercial,2052.7,30.4,2.02,360.0,111.0,3,0,1.48,2021-04-14,2021,3,11182.29,22953886.68,9.521807358041652,9.506738542642161,9.653030173483161,9.707439463995337,9.455126340355328,9.928965120073805,2020,991
