predio_id,nombre,ciudad,uso_suelo,superficie_m2,frente_m,dist_centro_km,dist_vialidad_m,densidad_comercios_1km,nivel_socioeconomico,esquina,cus,fecha_adquisicion,anio,anios_desde_inicio,_desvio_inyectado,_fuera_de_precio,precio_m2_pagado,precio_total_pagado,empresa,pagado_m2_real,pagado_total_real,justo_m2,justo_m2_lo,justo_m2_hi,brecha_pct,fuera_de_rango,veredicto,valor_hoy_m2,valor_hoy_total,plusvalia_real_pct
PR-0005,Predio 5,Leon,Mixto,2838.5,30.7,1.04,266.0,471.0,3,0,3.21,2018-06-16,2018,0,0.0,0,11952.73,33927824.1,EDC,16769.68019,47600737.219315,15370.869810660339,9523.158336250397,24809.378400957543,0.09100398328593795,False,dentro de mercado,17916.863155798434,50857016.067733854,0.06840816001264693
PR-0019,Predio 19,Aguascalientes,Comercial,7187.0,56.9,8.13,105.0,152.0,3,0,1.39,2020-01-22,2020,2,0.0,0,7331.33,52690268.71,ADP,9595.014916044776,68959372.20161381,8852.95888276998,6142.384610099755,12759.683079946873,0.08382011518420329,False,dentro de mercado,9877.199540438018,70987433.09712803,0.02940950346219595
PR-0057,Predio 57,Leon,Habitacional,547.9,31.6,3.8,415.0,300.0,1,0,1.14,2025-03-09,2025,7,0.0,0,6715.8,3679586.82,EDC,6715.8,3679586.82,6287.714626684424,4578.574173804946,8634.861798856924,0.06808282479914496,False,dentro de mercado,6287.714626684424,3445038.8439603955,-0.0637430199403759
PR-0052,Predio 52,Leon,Industrial,841.9,25.4,5.26,106.0,174.0,1,0,0.63,2024-08-26,2024,6,0.0,0,3128.68,2634035.69,EDC,3246.6997337278112,2733396.505825444,3040.5783750204187,2311.9290937861747,3998.8756054370856,0.06779018110526702,False,dentro de mercado,3107.8874196288416,2616530.4185855216,-0.042754897429208016
PR-0017,Predio 17,Queretaro,Industrial,3318.0,36.1,5.25,390.0,62.0,2,0,0.98,2019-12-06,2019,1,0.0,0,2149.48,7131974.64,PPO,2910.9270656370663,9658456.003783787,2756.336576327022,1941.5740249074083,3913.0062642656585,0.05608549066095736,False,dentro de mercado,3143.3063119405365,10429490.3430187,0.07982997892549859
PR-0008,Predio 8,Merida,Comercial,1179.0,29.0,8.78,344.0,112.0,2,0,2.18,2018-10-18,2018,0,0.0,0,12293.55,14494095.45,EDP,17247.85065,20335215.91635,16381.150435311138,12229.102762269327,21942.909042535404,0.05290838504361739,False,dentro de mercado,19094.48419636369,22512396.867512792,0.10706456032327072
PR-0048,Predio 48,Queretaro,Habitacional,699.2,37.7,14.22,418.0,18.0,3,0,0.82,2024-05-18,2024,6,0.0,0,4432.5,3099204.0,DIA,4599.702292899409,3216111.843195267,4373.103242699769,2832.560216775438,6751.500588778961,0.05181653339145664,False,dentro de mercado,4469.910285615786,3125361.271702558,-0.02821747996255841
PR-0004,Predio 4,Culiacan,Industrial,3810.7,53.9,8.47,451.0,120.0,4,0,0.55,2018-03-18,2018,0,0.0,0,1518.39,5786128.77,EDP,2130.30117,8117938.6685190005,2032.0002231049377,1346.8174285536809,3065.7643858474494,0.04837644493210558,False,dentro de mercado,2368.5757786246577,9025931.719604982,0.11185019845088728
PR-0013,Predio 13,Queretaro,Habitacional,1038.6,27.5,7.63,894.0,67.0,5,0,0.98,2019-03-13,2019,1,0.0,0,4400.26,4570110.04,OCI,5959.039362934364,6189058.282343631,5815.727481999541,4377.567587333545,7726.365263382884,0.02464212454562098,False,dentro de mercado,6632.213590930596,6888217.0355405165,0.11296690405897003
PR-0046,Predio 46,Queretaro,Habitacional,887.0,38.1,5.28,961.0,60.0,3,0,0.75,2024-02-22,2024,6,0.0,0,5700.62,5056449.94,EDP,5915.658180473374,5247188.806079883,5838.586111938323,4074.281435359088,8366.895691267977,0.013200467897092505,False,dentro de mercado,5967.834433996775,5293469.142955139,0.008820025081169636
PR-0016,Predio 16,Aguascalientes,Comercial,1175.3,47.6,6.28,195.0,185.0,3,0,2.44,2019-11-13,2019,1,0.0,0,10128.41,11903920.27,BSM,13716.369913127415,16120849.55889865,13645.502602100129,10676.741409912504,17439.753770850886,0.005193455535773328,False,dentro de mercado,15561.232553078975,18289116.61963372,0.1345007936965823
PR-0021,Predio 21,Puebla,Industrial,2749.3,38.8,6.28,528.0,95.0,3,0,0.99,2020-01-27,2020,2,0.0,0,1731.77,4761155.26,OCI,2266.4862966417913,6231250.775357277,2271.2838028646484,1682.2764000022396,3066.5175551107004,-0.0021122442808803044,False,dentro de mercado,2534.059361500134,6966889.402572319,0.11805633471281096
PR-0015,Predio 15,Queretaro,Habitacional,5026.2,71.2,6.69,675.0,152.0,2,0,1.44,2019-06-21,2019,1,0.0,0,3306.2,16617622.44,EDC,4477.411776061776,22504367.0688417,4502.679875633158,3227.105806104256,6282.44850977063,-0.005611791259717003,False,dentro de mercado,5134.823589862687,25808650.32736784,0.14682853547572394
PR-0022,Predio 22,Queretaro,Mixto,3395.2,81.2,2.73,234.0,247.0,4,0,1.66,2020-03-17,2020,2,0.0,0,9166.79,31123085.41,EDP,11997.207434701495,40732918.68229851,12192.406869857392,9046.322245472822,16432.621041610488,-0.016009918077658503,False,dentro de mercado,13603.004049433574,46184919.348636866,0.1338475327256048
PR-0064,Predio 64,Culiacan,Industrial,1507.4,34.3,7.52,181.0,91.0,5,0,0.9,2025-12-27,2025,7,0.0,0,3133.65,4723664.01,ILP,3133.65,4723664.010000001,3203.7782340172143,2460.828188097876,4171.0327532846895,-0.021889228559144214,False,dentro de mercado,3203.7782340172143,4829375.309957549,0.022379089565591093
PR-0058,Predio 58,Puebla,Mixto,2672.3,62.3,15.56,906.0,37.0,2,0,1.01,2025-03-22,2025,7,0.0,0,3304.45,8830481.74,DIA,3304.45,8830481.735,3386.224233529244,2315.4136124286015,4952.253238121748,-0.02414908992722442,False,dentro de mercado,3386.224233529244,9049007.0192602,0.02474670021614611
PR-0053,Predio 53,Leon,Industrial,2761.2,75.3,3.9,329.0,252.0,4,0,0.85,2024-09-24,2024,6,0.0,0,3763.78,10392549.34,DIA,3905.756908284025,10784575.975153849,4093.86856714912,2989.6026347720713,5606.015879889455,-0.04594960873306486,False,dentro de mercado,4184.494213990211,11554225.42366977,0.07136575886609609
PR-0055,Predio 55,Queretaro,Habitacional,5224.7,65.4,13.21,163.0,28.0,1,0,0.77,2025-01-10,2025,7,0.0,0,2963.48,15483293.96,EDP,2963.48,15483293.956,3126.9714035918,2062.645031172645,4740.490976928759,-0.052284265664855556,False,dentro de mercado,3126.9714035918,16337487.492346076,0.055168721770283646
PR-0047,Predio 47,Puebla,Comercial,1767.4,42.2,2.71,402.0,224.0,3,0,3.33,2024-04-22,2024,6,0.0,0,17815.75,31487556.55,OCI,18487.7938239645,32675326.80447486,19909.750179305687,13776.05612821622,28774.429235262563,-0.07142010032949464,False,dentro de mercado,20350.49075483926,35967457.36010291,0.10075279660790382
PR-0011,Predio 11,Leon,Mixto,5442.6,75.7,3.0,276.0,203.0,4,0,2.21,2019-02-16,2019,1,0.0,0,6255.55,34046456.43,IBS,8471.560472972975,46107315.03020272,9154.718316881688,6480.369174433727,12932.730405559427,-0.0746235788215287,False,dentro de mercado,10439.974608557284,56820605.80453388,0.23235555502013927
PR-0030,Predio 30,Aguascalientes,Habitacional,5088.3,59.8,6.78,231.0,125.0,3,0,1.52,2020-12-12,2020,2,0.0,0,2724.32,13862157.46,PPO,3565.5046268656724,18142357.1928806,3965.0053962092993,2855.927750367648,5504.784842664538,-0.1007566773365719,False,dentro de mercado,4423.735611547216,22509293.9122357,0.24070393240128496
PR-0002,Predio 2,Queretaro,Comercial,2330.6,37.0,6.75,656.0,73.0,1,0,1.47,2018-03-08,2018,0,0.0,0,6019.01,14027904.71,IBS,8444.671030000001,19681150.302518003,9416.35830163293,6954.058986196169,12750.51072197364,-0.10319140802707394,False,dentro de mercado,10976.06089925472,25580807.53180305,0.2997618095793033
PR-0031,Predio 31,Queretaro,Mixto,5069.6,49.7,9.45,291.0,39.0,2,0,1.66,2021-01-24,2021,3,0.0,0,3794.77,19237965.99,ADP,4633.648659704091,23490745.245235864,5291.619517955167,3583.009397242023,7815.005214431667,-0.12434205747758187,False,dentro de mercado,5775.969801712534,29281856.506761864,0.24652735369051304
PR-0010,Predio 10,Puebla,Mixto,250.0,15.6,3.88,248.0,201.0,3,0,2.73,2019-01-20,2019,1,0.0,0,6814.2,1703550.0,AAI,9228.11061776062,2307027.654440155,10618.235774372008,7955.525550434147,14172.153711956931,-0.13091865599430086,False,dentro de mercado,12108.959340419997,3027239.835104999,0.31218185845267543
PR-0029,Predio 29,Leon,Comercial,416.5,23.6,4.32,871.0,126.0,2,0,2.44,2020-12-01,2020,2,0.0,0,9819.35,4089759.28,AYP,12851.25750932836,5352548.752635262,14814.44671494576,10179.295098934588,21560.21898735775,-0.13251856403363416,False,dentro de mercado,16528.40007757075,6884078.632308218,0.28613095376645115
PR-0061,Predio 61,Leon,Mixto,2010.2,26.9,2.78,1688.0,72.0,2,0,2.39,2025-07-24,2025,7,0.0,0,6778.27,13625678.35,DIA,6778.27,13625678.354,7828.622969291625,5673.287997332237,10802.789779778446,-0.13416829158994048,False,dentro de mercado,7828.622969291625,15737097.892870026,0.1549588566539286
PR-0023,Predio 23,Merida,Habitacional,2062.1,37.8,2.49,153.0,196.0,4,0,0.88,2020-04-19,2020,2,0.0,0,7337.94,15131566.07,PPO,9603.665876865673,19803719.404684704,11176.492774381111,8288.707933275691,15070.381504735598,-0.14072633779361365,False,dentro de mercado,12469.55405041774,25713467.40736642,0.2984160642714282
PR-0007,Predio 7,Puebla,Comercial,1085.2,25.8,6.87,772.0,195.0,3,0,1.13,2018-10-01,2018,0,0.0,0,5730.87,6219140.12,EDC,8040.41061,8725453.593972,9682.057732133848,6785.5658264384865,13814.94842524797,-0.16955560145911686,False,dentro de mercado,11285.770134678529,12247317.75015314,0.4036310683738238
PR-0049,Predio 49,Aguascalientes,Mixto,250.0,18.7,6.04,355.0,144.0,3,0,1.36,2024-06-25,2024,6,-0.4215,1,6643.88,1660970.0,PPO,6894.499733727813,1723624.9334319532,8419.380362929378,6675.374106104284,10619.025176560408,-0.18111554098632143,False,dentro de mercado,8605.759524564994,2151439.8811412486,0.24820652069441929
PR-0026,Predio 26,Aguascalientes,Industrial,731.4,37.2,6.31,60.0,62.0,2,0,1.64,2020-07-14,2020,2,0.0,0,1815.05,1327527.57,IBS,2375.4805503731345,1737426.4745429105,2905.5786733619207,2186.0955573479528,3861.856540862946,-0.18244149705828905,False,dentro de mercado,3241.7388036323246,2371007.760976682,0.36466653163004015
PR-0039,Predio 39,Queretaro,Habitacional,2225.9,51.0,7.07,704.0,161.0,3,0,1.54,2022-10-07,2022,4,0.0,0,4207.86,9366275.57,OCI,4764.832590799031,10606040.863859564,5857.7182787059355,4192.42906093181,8184.482774541984,-0.18657191006945117,False,dentro de mercado,6255.408978142328,13923914.84444701,0.312828700471371
PR-0024,Predio 24,Aguascalientes,Habitacional,1124.8,39.9,9.22,682.0,134.0,4,1,0.91,2020-04-27,2020,2,0.0,0,2851.8,3207704.64,EDC,3732.346455223881,4198143.292835821,4707.382893526863,3510.508545072462,6312.320115948313,-0.207129196914013,False,dentro de mercado,5252.002270461405,5907452.153814988,0.40715829397632075
PR-0056,Predio 56,Aguascalientes,Comercial,1400.5,40.5,6.51,441.0,43.0,3,0,1.51,2025-01-22,2025,7,0.0,0,8426.04,11800669.02,EDP,8426.04,11800669.020000001,10712.691921431962,7928.3624975683515,14474.838686892956,-0.21345259792800098,False,dentro de mercado,10712.691921431962,15003125.035965463,0.27137919134397204
PR-0003,Predio 3,Merida,Comercial,1970.0,53.3,3.52,241.0,150.0,4,0,1.61,2018-03-11,2018,0,0.0,0,12966.94,25544871.8,BSM,18192.61682,35839455.1354,24338.18693349737,18099.057385719152,32728.07697030934,-0.25250731002641125,False,dentro de mercado,28369.504791803345,55887924.43985259,0.5593965987683209
PR-0059,Predio 59,Puebla,Comercial,3772.1,76.5,5.15,1278.0,155.0,3,0,2.01,2025-07-06,2025,7,0.0,0,8536.06,32198871.93,PPO,8536.06,32198871.926,11467.074964557383,8130.522687554515,16172.860380066068,-0.25560266882501526,False,dentro de mercado,11467.074964557383,43254953.4738069,0.34336859916136775
PR-0043,Predio 43,Leon,Habitacional,8050.1,106.5,7.08,117.0,176.0,2,0,1.35,2023-06-15,2023,5,-0.3643,1,2740.86,22064197.09,EDC,2969.441374517375,23904300.009002324,4086.0298676148295,2872.805082726393,5811.61603320324,-0.27326978247206235,False,dentro de mercado,4268.936443467618,34365365.26355867,0.4376227394492509
PR-0041,Predio 41,Queretaro,Comercial,6539.0,73.2,3.29,428.0,203.0,4,0,2.59,2022-12-10,2022,4,-0.3797,1,13255.61,86678433.79,APE,15010.186303470542,98151608.23839387,20771.217872916637,14645.979719652607,29458.151669105624,-0.2773564653114462,False,dentro de mercado,22181.412042556836,145044253.34627914,0.47775727723167694
PR-0062,Predio 62,Queretaro,Comercial,4638.1,66.2,15.89,1028.0,24.0,2,0,1.56,2025-10-11,2025,7,0.0,0,5415.39,25117120.36,IBS,5415.39,25117120.359000005,7884.95194166725,5294.914337249658,11741.92124035314,-0.31319936506107204,False,dentro de mercado,7884.95194166725,36571195.600646876,0.4560266096564143
PR-0025,Predio 25,Culiacan,Industrial,3817.7,39.0,6.23,330.0,409.0,3,0,1.24,2020-06-09,2020,2,0.0,0,1431.65,5465610.2,EDC,1873.69864738806,7153219.3261333965,2782.865479932232,1801.3290813778551,4299.236802125417,-0.32670168180975534,False,dentro de mercado,3104.8283408368375,11853303.156812795,0.6570585377563116
PR-0035,Predio 35,Culiacan,Comercial,500.3,29.8,26.5,263.0,6.0,2,0,0.91,2021-06-08,2021,3,0.0,0,2633.9,1317740.17,EDC,3216.1546562228027,1609042.1745082682,5414.07453768621,3108.092649120522,9430.92964359233,-0.40596409712577075,False,dentro de mercado,5909.633322612829,2956589.5513031986,0.837484186644609
PR-0051,Predio 51,Puebla,Habitacional,474.2,18.6,3.82,130.0,372.0,3,0,1.02,2024-08-03,2024,6,-0.432,1,3944.09,1870287.48,ILP,4092.8685428994095,1940838.2630429,7251.880322736841,5355.224320254171,9820.273637538632,-0.43561278444336327,True,compra por debajo del rango,7412.414627705959,3514967.016458166,0.8110561211562797
PR-0037,Predio 37,Culiacan,Industrial,12704.5,112.0,1.36,199.0,473.0,4,0,0.95,2022-04-14,2022,4,-0.4497,1,2082.73,26460043.28,EDP,2358.4101614205006,29962421.89576675,4479.431780302819,2704.462285392479,7419.33403278165,-0.47350238220146146,True,compra por debajo del rango,4783.548208069942,60772588.20942458,1.0282935879095558
PR-0044,Predio 44,Aguascalientes,Comercial,4013.1,35.5,26.43,551.0,7.0,3,0,0.6,2023-07-03,2023,5,0.0,0,2248.53,9023575.74,EDC,2436.0521930501936,9776121.055929732,4694.976657034667,2693.7967429694027,8182.802161161708,-0.48113646328780757,True,compra por debajo del rango,4905.142057648417,19684825.59154886,1.0135619719652489
PR-0036,Predio 36,Aguascalientes,Mixto,6339.6,98.6,11.03,280.0,64.0,3,0,0.9,2021-07-15,2021,3,-0.3984,1,1626.67,10312437.13,IBS,1986.2645865970412,12592122.973190604,3939.853141704555,2287.51669758294,6785.717802453969,-0.4958531409275587,True,compra por debajo del rango,4300.474116185419,27263285.706969082,1.1651063736444027
